CTYNAME,STNAME,POPESTIMATE2019,Per 100000 People
Beckham County,Oklahoma,21859,0.21859
Bedford County,Pennsylvania,47888,0.47888
Bedford County,Tennessee,49713,0.49713
Bedford County,Virginia,78997,0.78997
Bee County,Texas,32565,0.32565
Belknap County,New Hampshire,61303,0.61303
Bell County,Texas,362924,3.62924
Bell County,Kentucky,26032,0.26032
Belmont County,Ohio,67006,0.67006
Beltrami County,Minnesota,47188,0.47188
Ben Hill County,Georgia,16700,0.167
Benewah County,Idaho,9298,0.09298
Bennett County,South Dakota,3365,0.03365
Bennington County,Vermont,35470,0.3547
Benson County,North Dakota,6832,0.06832
Bent County,Colorado,5577,0.05577
Benton County,Arkansas,279141,2.79141
Benton County,Iowa,25645,0.25645
Benton County,Indiana,8748,0.08748
Benton County,Minnesota,40889,0.40889
Benton County,Missouri,19443,0.19443
Benton County,Mississippi,8259,0.08259
Benton County,Oregon,93053,0.93053
Benton County,Tennessee,16160,0.1616
Benton County,Washington,204390,2.0439
Benzie County,Michigan,17766,0.17766
Bergen County,New Jersey,932202,9.32202
Berkeley County,South Carolina,227907,2.27907
Berkeley County,West Virginia,119171,1.19171
Berks County,Pennsylvania,421164,4.21164
Berkshire County,Massachusetts,124944,1.24944
Bernalillo County,New Mexico,679121,6.79121
Berrien County,Georgia,19397,0.19397
Berrien County,Michigan,153401,1.53401
Bertie County,North Carolina,18947,0.18947
Bethel Census Area,Alaska,18386,0.18386
Bexar County,Texas,2003554,20.03554
Bibb County,Alabama,22394,0.22394
Bibb County,Georgia,153159,1.53159
Bienville Parish,Louisiana,13241,0.13241
Big Horn County,Montana,13319,0.13319
Big Horn County,Wyoming,11790,0.1179
Big Stone County,Minnesota,4991,0.04991
Billings County,North Dakota,928,0.00928
Bingham County,Idaho,46811,0.46811
Black Hawk County,Iowa,131228,1.31228
Blackford County,Indiana,11758,0.11758
Bladen County,North Carolina,32722,0.32722
Blaine County,Idaho,23021,0.23021
Blaine County,Montana,6681,0.06681
Blaine County,Nebraska,465,0.00465
Blaine County,Oklahoma,9429,0.09429
Blair County,Pennsylvania,121829,1.21829
Blanco County,Texas,11931,0.11931
Bland County,Virginia,6280,0.0628
Bleckley County,Georgia,12873,0.12873
Bledsoe County,Tennessee,15064,0.15064
Blount County,Tennessee,133088,1.33088
Blount County,Alabama,57826,0.57826
Blue Earth County,Minnesota,67653,0.67653
Boise County,Idaho,7831,0.07831
Bolivar County,Mississippi,30628,0.30628
Bollinger County,Missouri,12133,0.12133
Bon Homme County,South Dakota,6901,0.06901
Bond County,Illinois,16426,0.16426
Bonner County,Idaho,45739,0.45739
Bonneville County,Idaho,119062,1.19062
Boone County,Arkansas,37432,0.37432
Boone County,Iowa,26234,0.26234
Boone County,Illinois,53544,0.53544
Boone County,Indiana,67843,0.67843
Boone County,Kentucky,133581,1.33581
Boone County,Missouri,180463,1.80463
Boone County,Nebraska,5192,0.05192
Boone County,West Virginia,21457,0.21457
Borden County,Texas,654,0.00654
Bosque County,Texas,18685,0.18685
Bossier Parish,Louisiana,127039,1.27039
Botetourt County,Virginia,33419,0.33419
Bottineau County,North Dakota,6282,0.06282
Boulder County,Colorado,326196,3.26196
Boundary County,Idaho,12245,0.12245
Bourbon County,Kansas,14534,0.14534
Bourbon County,Kentucky,19788,0.19788
Bowie County,Texas,93245,0.93245
Bowman County,North Dakota,3024,0.03024
Box Butte County,Nebraska,10783,0.10783
Box Elder County,Utah,56046,0.56046
Boyd County,Kentucky,46718,0.46718
Boyd County,Nebraska,1919,0.01919
Boyle County,Kentucky,30060,0.3006
Bracken County,Kentucky,8303,0.08303
Bradford County,Florida,28201,0.28201
Bradford County,Pennsylvania,60323,0.60323
Bradley County,Arkansas,10763,0.10763
Bradley County,Tennessee,108110,1.0811
Branch County,Michigan,43517,0.43517
Brantley County,Georgia,19109,0.19109
Braxton County,West Virginia,13957,0.13957
Brazoria County,Texas,374264,3.74264
Brazos County,Texas,229211,2.29211
Breathitt County,Kentucky,12630,0.1263
Breckinridge County,Kentucky,20477,0.20477
Bremer County,Iowa,25062,0.25062
Brevard County,Florida,601942,6.01942
Brewster County,Texas,9203,0.09203
Briscoe County,Texas,1546,0.01546
Bristol Bay Borough,Alaska,836,0.00836
Bristol city,Virginia,16762,0.16762
Bristol County,Massachusetts,565217,5.65217
Bristol County,Rhode Island,48479,0.48479
Broadwater County,Montana,6237,0.06237
Bronx County,New York,1418207,14.18207
Brooke County,West Virginia,21939,0.21939
Brookings County,South Dakota,35077,0.35077
Brooks County,Georgia,15457,0.15457
Brooks County,Texas,7093,0.07093
Broome County,New York,190488,1.90488
Broomfield County,Colorado,70465,0.70465
Broward County,Florida,1952778,19.52778
Brown County,Wisconsin,264542,2.64542
Brown County,Illinois,6578,0.06578
Brown County,Indiana,15092,0.15092
Brown County,Kansas,9564,0.09564
Brown County,Minnesota,25008,0.25008
Brown County,Nebraska,2955,0.02955
Brown County,Ohio,43432,0.43432
Brown County,South Dakota,38839,0.38839
Brown County,Texas,37864,0.37864
Brule County,South Dakota,5297,0.05297
Brunswick County,North Carolina,142820,1.4282
Brunswick County,Virginia,16231,0.16231
Bryan County,Georgia,39627,0.39627
Bryan County,Oklahoma,47995,0.47995
Buchanan County,Iowa,21175,0.21175
Buchanan County,Missouri,87364,0.87364
Buchanan County,Virginia,21004,0.21004
Buckingham County,Virginia,17148,0.17148
Bucks County,Pennsylvania,628270,6.2827
Buena Vista city,Virginia,6478,0.06478
Buena Vista County,Iowa,19620,0.1962
Buffalo County,Nebraska,49659,0.49659
Buffalo County,South Dakota,1962,0.01962
Buffalo County,Wisconsin,13031,0.13031
Bullitt County,Kentucky,81676,0.81676
Bulloch County,Georgia,79608,0.79608
Bullock County,Alabama,10101,0.10101
Buncombe County,North Carolina,261191,2.61191
Bureau County,Illinois,32628,0.32628
Burke County,Georgia,22383,0.22383
Burke County,North Carolina,90485,0.90485
Burke County,North Dakota,2115,0.02115
Burleigh County,North Dakota,95626,0.95626
Burleson County,Texas,18443,0.18443
Burlington County,New Jersey,445349,4.45349
Burnet County,Texas,48155,0.48155
Burnett County,Wisconsin,15414,0.15414
Burt County,Nebraska,6459,0.06459
